Номер,Проект,Инициатор,Ответственный,Приоритет,Влияние,Воспроизводимость,Версия продукта,Категория,Создан,Операционная система,Версия ОС,Платформа,Видимость,Изменена,Тема,Состояние,Решение,Решена в версии
0034428,mantisbt,Akulova,,низкий,текст/опечатка,всегда,,General,2024-04-29,Windows 10 Pro,22H2,,публичная,2024-04-29,""Не переведено название подраздела Expirience в разделе """"О нас"""" на русский язык"",новая,открыта,"
0034427,mantisbt,Akulova,,обычный,малое,всегда,,2024-04-29,,,,публичная,2024-04-29,"Название ссылки ""Подпишись на нас в инстаграм""",новая,открыта,
0034426,mantisbt,Akulova,,низкий,малое,всегда,,2024-04-29,,,,публичная,2024-04-29,Название города Одесса в английской локализации,новая,открыта,
0001831,mantisbt,Akulova,,низкий,текст/опечатка,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Лента новостей в разделе Feed не соответствует выбранной англ докализации,новая,открыта,
"0001830,mantisbt,Akulova,,низкий,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Не появляется анимация при наведении на """"Електронні картки Apple i Google в главном меню сайта"",новая,открыта,"
0001829,mantisbt,Akulova,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Не воспроизводится видео в разделе Стрічка,новая,открыта,
"0001828,mantisbt,Akulova,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Отсутствует возможность определить длительность проекта с в разделе """"Розрахунок вартості"""""",новая,открыта,"
0001827,mantisbt,Akulova,,низкий,текст/опечатка,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Термин Android написан с ошибкой в разделе  F.Q.A.,новая,открыта,
0001826,mantisbt,Akulova,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Отсутвует ссылка на разьяснение терминов в разделе F.Q.A.,новая,открыта,
"0001825,mantisbt,Akulova,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Функция """"Связаться с экспертами"""" работает при введении невалидных данных"",новая,открыта,"
